vote_id;vote_option_id;vote_option_text;vote_result
4;4;Я хожу только на определённые спектакли;2
4;2;Мой вечер был занят другими делами;2
4;1;Неправда, я был(а) на этом спектакле!;2
4;3;Не было свободных денег на билет;2
4;5;Другое (сейчас расшифрую в теме);4
5;1;Да, возникают часто;10
5;2;Возникают, но редко или по отношению к немногим предметам;2
5;3;Нет, не возникают;2
6;1;Прочно, теперь без них тяжело писать какие-либо сообщения;6
6;2;Непрочно: особого привыкания не вызвали;3
6;3;Никак, ничего не изменили при написании каких-либо сообщений;1
8;1;Манилов;2
8;2;Ноздрёв;1
8;3;Собакевич;3
8;4;Коробочка;1
8;5;Плюшкин;3
16;1;Да;2
16;2;Нет;6
16;3;Свой вариант;0
11;3;Никогда не общался;4
11;2;Да, довольно часто;5
11;1;Да, но редко;6
